url,address,neighborhood,price,rooms,baths,none
https://www.renthop.com/listings/8-griggs/19/57817406,"8 Griggs, Apt 19","Commonwealth, Brighton, Boston","$2,700",2_Bed,1_Bath,
https://www.renthop.com/listings/10-vinal-street/3sm/58093445,"10 Vinal Street, Apt 3SM","Commonwealth, Brighton, Boston","$1,800",1_Bed,1_Bath,
https://www.renthop.com/listings/57-pleasant-street/na/19544655,57 Pleasant Street,"Uphams Corner - Jones Hill, Dorchester, Boston","$1,300",_,Room,2_Bath
https://www.renthop.com/listings/1191-boylston-street/23/19257798,1191 Boylston Street,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,595",2_Bed,1_Bath,
https://www.renthop.com/listings/376-commonwealth-ave/301/58338213,"376 Commonwealth Ave., Apt 301...","Back Bay West, Back Bay, Boston","$3,600",2_Bed,1_Bath,
https://www.renthop.com/listings/91-prince-st/7sm/58114014,"91 Prince St, Apt 7SM","North End, Boston","$2,895",2_Bed,1_Bath,
https://www.renthop.com/listings/566-commonwealth-ave/604/58058437,"566 Commonwealth Ave., Apt 604...","Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,350",Studio,1_Bath,
https://www.renthop.com/listings/619-hancock-st/1/58335227,"619 Hancock Street, Apt 1","Wollaston, Quincy","$3,000",4_Bed,1_Bath,
https://www.renthop.com/listings/214-market-st/201/58330058,"214 Market St., Apt 201","Oak Square, Brighton, Boston","$4,500",2_Bed,2_Bath,
https://www.renthop.com/listings/14-stickney-ave/1/58159154,"14 Stickney Ave, Apt 1","Winter Hill, Somerville","$3,700",_,4_Bed,2_Bath
https://www.renthop.com/listings/55-traveler-st/924/58255425,"55 Traveler St., Apt 924","Shawmut, South End, Boston","$2,950",1_Bed,1_Bath,
https://www.renthop.com/listings/57-pleasant-street/na/19544650,57 Pleasant Street,"Uphams Corner - Jones Hill, Dorchester, Boston","$1,025",Room,2_Bath,
https://www.renthop.com/listings/38-gorham-st/1/58284012,"38 Gorham St., Apt 1","Davis Square, Somerville","$4,400",4_Bed,2_Bath,
https://www.renthop.com/listings/50-malden-st/611/58273546,"50 Malden St., Apt 611","Harrison Lenox, South End, Boston","$3,020",1_Bed,1_Bath,
https://www.renthop.com/listings/65-hancock-st/4f/58255189,"65 Hancock St., Apt 4F","Beacon Hill, Boston","$2,650",1_Bed,1_Bath,
https://www.renthop.com/listings/15-orchard-street/porter-square-davis-square-area-4-bedroom-2-bathroom-apartment/58339418,"15 Orchard Street, Apt PORTER ...","Porter Square, Cambridge","$4,500",4_Bed,2_Bath,
https://www.renthop.com/listings/16-dudley-street/davis-square-alewife-area-3-bedroom-1-bathroom-apartment/58339301,"16 Dudley Street, Apt DAVIS SQ...","North Cambridge, Cambridge","$2,900",3_Bed,1_Bath,
https://www.renthop.com/listings/91-prince-st/7sm/58114014,"91 Prince St, Apt 7SM","North End, Boston","$2,895",2_Bed,1_Bath,
https://www.renthop.com/listings/403-massachusetts-ave/30/58338267,"403 Massachusetts Ave., Apt 30...","Lower Roxbury, Roxbury, Boston","$4,400",3_Bed,2_Bath,
https://www.renthop.com/listings/604-tremont-st/3/58338308,"604 Tremont St., Apt 3","Shawmut, South End, Boston","$2,850",2_Bed,2_Bath,
https://www.renthop.com/listings/566-commonwealth-ave/604/58058437,"566 Commonwealth Ave., Apt 604...","Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,350",Studio,1_Bath,
https://www.renthop.com/listings/15-glenville-ave/8sm/58115002,"15 Glenville Ave, Apt 8SM","Commonwealth, Brighton, Boston","$2,395",2_Bed,1_Bath,
https://www.renthop.com/listings/619-hancock-st/1/58335227,"619 Hancock Street, Apt 1","Wollaston, Quincy","$3,000",4_Bed,1_Bath,
https://www.renthop.com/listings/214-market-st/201/58330058,"214 Market St., Apt 201","Oak Square, Brighton, Boston","$4,500",2_Bed,2_Bath,
https://www.renthop.com/listings/14-stickney-ave/1/58159154,"14 Stickney Ave, Apt 1","Winter Hill, Somerville","$3,700",4_Bed,2_Bath,
https://www.renthop.com/listings/43-joy-street/1/57817415,"43 Joy Street, Apt 1","Beacon Hill, Boston","$2,950",2_Bed,2_Bath,
https://www.renthop.com/listings/55-traveler-st/924/58255425,"55 Traveler St., Apt 924","Shawmut, South End, Boston","$2,950",1_Bed,1_Bath,
https://www.renthop.com/listings/57-pleasant-street/na/19544650,57 Pleasant Street,"Uphams Corner - Jones Hill, Dorchester, Boston","$1,025",Room,2_Bath,
https://www.renthop.com/listings/38-gorham-st/1/58284012,"38 Gorham St., Apt 1","Davis Square, Somerville","$4,400",4_Bed,2_Bath,
https://www.renthop.com/listings/57-pleasant-street/na/19544654,57 Pleasant Street,"Uphams Corner - Jones Hill, Dorchester, Boston","$1,025",Room,2_Bath,
https://www.renthop.com/listings/50-malden-st/611/58273546,"50 Malden St., Apt 611","Harrison Lenox, South End, Boston","$3,020",1_Bed,1_Bath,
https://www.renthop.com/listings/33-lancaster-terr/208/57861608,"33 Lancaster Terr, Apt 208","Washington Square, Brookline","$2,395",2_Bed,1_Bath,
https://www.renthop.com/listings/65-hancock-st/4f/58255189,"65 Hancock St., Apt 4F","Beacon Hill, Boston","$2,650",1_Bed,1_Bath,
https://www.renthop.com/listings/266-gold-st/2/58235890,"266 Gold St., Apt 2","D Street - West Broadway, South Boston, Boston","$3,600",3_Bed,1_Bath,
https://www.renthop.com/listings/29-peterborough-st/7/58318984,"29 Peterborough St., Apt 7","West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,495",1_Bed,1_Bath,
https://www.renthop.com/listings/65-gardner-street/1sm/58308796,"65 Gardner Street, Apt 1SM","Allston, Boston","$2,300",2_Bed,1_Bath,
https://www.renthop.com/listings/8-griggs-st/19sm/58050116,"8 Griggs St, Apt 19SM","Commonwealth, Brighton, Boston","$2,700",2_Bed,1_Bath,
https://www.renthop.com/listings/38-gorham-st/1/58284012,"38 Gorham St., Apt 1","Davis Square, Somerville","$4,400",4_Bed,2_Bath,
https://www.renthop.com/listings/57-pleasant-street/na/19544654,57 Pleasant Street,"Uphams Corner - Jones Hill, Dorchester, Boston","$1,025",Room,2_Bath,
https://www.renthop.com/listings/50-malden-st/611/58273546,"50 Malden St., Apt 611","Harrison Lenox, South End, Boston","$3,020",1_Bed,1_Bath,
https://www.renthop.com/listings/33-lancaster-terr/208/57861608,"33 Lancaster Terr, Apt 208","Washington Square, Brookline","$2,395",2_Bed,1_Bath,
https://www.renthop.com/listings/65-hancock-st/4f/58255189,"65 Hancock St., Apt 4F","Beacon Hill, Boston","$2,650",1_Bed,1_Bath,
https://www.renthop.com/listings/7-primus-avenue/na/58276600,7 Primus Avenue,"Beacon Hill, Boston","$2,425",1_Bed,1_Bath,
https://www.renthop.com/listings/191-kent-st/3/58221511,"191 Kent St., Apt 3","Coolidge Corner, Brookline","$3,000",1_Bed,1_Bath,
https://www.renthop.com/listings/266-gold-st/2/58235890,"266 Gold St., Apt 2","D Street - West Broadway, South Boston, Boston","$3,600",3_Bed,1_Bath,
https://www.renthop.com/listings/29-peterborough-st/7/58318984,"29 Peterborough St., Apt 7","West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,495",1_Bed,1_Bath,
https://www.renthop.com/listings/231-park-drive/34/57751652,"231 Park Drive, Apt 34","West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,325",1_Bed,1_Bath,
https://www.renthop.com/listings/1530-beacon-st/606/58330353,"1530 Beacon St., Apt 606","Washington Square, Brookline","$2,625",1_Bed,1_Bath,
https://www.renthop.com/listings/25-drayton-ave/2/58331085,"25 Drayton Ave, Apt 2","Uphams Corner - Jones Hill, Dorchester, Boston","$2,700",3_Bed,1_Bath,
https://www.renthop.com/listings/21-wendell-st/12a/58329519,"21 Wendell St., Apt 12A","Aggasiz - Harvard University, Cambridge","$2,695",1_Bed,1_Bath,
https://www.renthop.com/listings/7-cameron-ave/303/57893476,"7 Cameron Ave., Apt 303","North Cambridge, Cambridge","$4,000",2_Bed,2_Bath,
https://www.renthop.com/listings/44-winter-st/304/57674949,"44 Winter St., Apt 304","Downtown Boston, Boston","$5,900",4_Bed,2_Bath,
https://www.renthop.com/listings/89-prince-st/5f/58318389,"89 Prince St., Apt 5F","North End, Boston","$2,700",1_Bed,1_Bath,
https://www.renthop.com/listings/345-harrison-ave/565/57830134,"345 Harrison Ave., Apt 565","Shawmut, South End, Boston","$5,799",2_Bed,2_Bath,
https://www.renthop.com/listings/44-winter-st/401/57674944,"44 Winter St., Apt 401","Downtown Boston, Boston","$5,900",4_Bed,2_Bath,
https://www.renthop.com/listings/21-wendell-st/12a/58329519,"21 Wendell St., Apt 12A","Aggasiz - Harvard University, Cambridge","$2,695",1_Bed,1_Bath,
https://www.renthop.com/listings/7-cameron-ave/303/57893476,"7 Cameron Ave., Apt 303","North Cambridge, Cambridge","$4,000",2_Bed,2_Bath,
https://www.renthop.com/listings/44-winter-st/304/57674949,"44 Winter St., Apt 304","Downtown Boston, Boston","$5,900",4_Bed,2_Bath,
https://www.renthop.com/listings/89-prince-st/5f/58318389,"89 Prince St., Apt 5F","North End, Boston","$2,700",1_Bed,1_Bath,
https://www.renthop.com/listings/345-harrison-ave/565/57830134,"345 Harrison Ave., Apt 565","Shawmut, South End, Boston","$5,799",2_Bed,2_Bath,
https://www.renthop.com/listings/28-phillips-street/3sm/57930494,"28 Phillips Street, Apt 3SM","Beacon Hill, Boston","$3,993",3_Bed,2_Bath,
https://www.renthop.com/listings/870-e-5th-street/na/19430627,870 E 5th Street,"City Point, South Boston, Boston","$1,525",Room,2_Bath,
https://www.renthop.com/listings/97-myrtle-street/7sm/57921123,"97 Myrtle Street, Apt 7SM","Beacon Hill, Boston","$3,075",2_Bed,1_Bath,
https://www.renthop.com/listings/44-winter-st/401/57674944,"44 Winter St., Apt 401","Downtown Boston, Boston","$5,900",4_Bed,2_Bath,
https://www.renthop.com/listings/15-orchard-st/2/57961585,"15 Orchard St, Apt 2","Porter Square, Cambridge","$4,600",4_Bed,2_Bath,
https://www.renthop.com/listings/894-huntington-ave/4/58237024,"894 Huntington Ave., Apt 4","Mission Hill, Boston","$2,195",2_Bed,1_Bath,
https://www.renthop.com/listings/31-peterborough-st/11/58318981,"31 Peterborough St., Apt 11","West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$1,750",Studio,1_Bath,
https://www.renthop.com/listings/827-boylston-st/301-2/57674270,"827 Boylston St., Apt 301 2","Back Bay West, Back Bay, Boston","$3,500",2_Bed,1_Bath,
https://www.renthop.com/listings/38-monadnock-st/na/58338476,38 Monadnock St,"Uphams Corner - Jones Hill, Dorchester, Boston","$1,650",2_Bed,1_Bath,
https://www.renthop.com/listings/21-wendell-st/8/58236616,"21 Wendell St., Apt 8","Aggasiz - Harvard University, Cambridge","$2,695",1_Bed,1_Bath,
https://www.renthop.com/listings/1175-boylston-st/36/58247655,"1175 Boylston St., Apt 36","West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,295",1_Bed,1_Bath,
https://www.renthop.com/listings/4-davis-ave/3a/58254909,"4 Davis Ave., Apt 3A","Brookline Village, Brookline","$3,800",3_Bed,2_Bath,
